NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,x,y
"4050111500","101",도련이동2868-1,"0",,126.592,33.514
"4050111600","101",도련이동2868-1,"0",,126.592,33.514
"4050111700","102",도련이동702-2,"0",,126.593,33.514
"4050111800","101",도련이동645-12,"0",,126.592,33.515
"4050111900","101",도련이동2868-1,"0",,126.592,33.515
"4050112000","101",도련이동2868-1,"0",,126.591,33.515
"4050112100","101",도련이동2868-1,"0",,126.592,33.515
"4050112200","101",회천동2557-6,"0",,126.601,33.506
"4050112300","101",삼양일동1668-1,"0",,126.594,33.529
"4050112400","101",삼양일동1018-3,"0",,126.594,33.530
"4050112500","102",삼양일동900,"0",,126.593,33.532
"4050112600","102",삼양일동2681-23,"0",,126.603,33.532
"4050168500","101",고성리938,"0",,126.420,33.434
"4050168600","101",고성리902-6,"1",,126.422,33.435
"4050168700","103",속성변화점,"0",,126.422,33.434
"4050168800","101",광령3교차로,"1",,126.424,33.462
"4050168900","101",고성리914-6,"0",,126.424,33.437
"4050169000","104",고성리914-6,"0",,126.424,33.437
"4050169100","104",고성리914-6,"0",,126.424,33.437
"4050169200","101",광령회전교차로,"0",,126.424,33.459
"4050169300","101",고성리919-1,"0",,126.424,33.436
"4050169400","104",광삼교서측,"0",,126.424,33.473
"4050169500","104",광삼교동측,"0",,126.425,33.473
"4050169600","101",고성리151,"0",,126.426,33.438
"4050169700","103",속성변화점,"0",,126.427,33.438
"4050169800","104",제2고성교남측,"0",,126.427,33.439
"4050169900","104",제2고성교북측,"0",,126.427,33.439
"4050170000","101",광령리2854-3,"1",,126.428,33.440
"4050170100","101",광령2리사무소,"0",,126.429,33.450
"4050170200","101",광령4교차로,"1",,126.430,33.441
"4050170300","103",속성변화점,"0",,126.430,33.447
"4050170400","101",그림책방앞,"0",,126.430,33.446
"4050170500","102",원불교국제훈련원,"0",,126.430,33.428
"4050170600","101",광령리2289-2,"0",,126.431,33.459
"4050170700","101",광령4교차로,"0",,126.432,33.444
"4050170800","104",제6광령교남측,"0",,126.432,33.443
"4050170900","104",제6광령교북측,"0",,126.432,33.444
"4050171000","101",광령4교차로,"0",,126.432,33.443
"4050171100","101",광령4교차로,"1",,126.433,33.445
"4050171200","103",속성변화점,"0",,126.434,33.460
"4050000400","104",제2광령교,"0",,126.450,33.414
"4050000500","101",어승생삼거리,"0",,126.481,33.415
"4050000501","101",어승생삼거리,"0",,126.480,33.415
"4050000502","101",해안동산63-30,"1",,126.479,33.412
"4050000503","101",노형동산17-3,"0",,126.490,33.418
"4050000600","101",교래입구교차로,"0",,126.617,33.419
"4050000601","101",봉개동산78-1,"1",,126.622,33.422
"4050000602","101",봉개동산78-1,"0",,126.623,33.423
"4050000604","101",용강동산14-4,"1",,126.601,33.428
"4050000605","101",용강동산14-3,"1",,126.598,33.429
"4050000800","101",오라이동산89-1,"0",,126.518,33.419
"4050000801","101",연동산146-6,"0",,126.500,33.424
"4050000900","101",노루생이,"0",,126.491,33.419
"4050001000","101",오라이동산100-1,"0",,126.526,33.423
"4050002600","101",제주대사거리,"1",,126.551,33.456
"4050002701","104",광령교서측,"0",,126.448,33.461
"4050002702","101",광령교동측,"1",,126.448,33.461
"4050002703","101",해안동2390-3,"0",,126.450,33.462
"4050002900","101",해안마을,"1",,126.452,33.463
"4050002901","101",제1해안교,"0",,126.454,33.463
"4050002902","101",해안교차로,"0",,126.456,33.466
"4050003100","101",온난화농업연구센터앞교차로,"0",,126.518,33.467
"4050003101","101",온난화농업연구센터앞,"0",,126.519,33.467
"4050003102","104",오봉교,"0",,126.527,33.475
"4050003300","101",교도소입구,"1",,126.514,33.467
"4050003301","104",한북교서측,"0",,126.516,33.467
"4050003302","104",한북교동측,"0",,126.517,33.467
"4050003400","101",아라파출소,"1",,126.547,33.469
"4050003401","101",달무교차로,"1",,126.549,33.464
"4050003500","101",한라수목원입구교차로,"1",,126.485,33.470
"4050003501","101",노형동3764,"0",,126.487,33.469
"4050003600","101",인다마을입구,"1",,126.545,33.471
"4050003700","101",아라LH아파트,"1",,126.546,33.473
"4050003701","101",아라일동6174,"1",,126.546,33.474
"4050003800","101",월산마을,"1",,126.463,33.473
"4050003801","104",도병교,"0",,126.461,33.470
"4050003802","101",GS주유소서부관광,"1",,126.460,33.469
"4050003901","101",버으내교차로,"1",,126.625,33.480
"4050004000","101",아라초등학교,"1",,126.544,33.477
"4050004001","103",속성변화점,"0",,126.545,33.475
"4050004002","101",워시테리아제주아라점,"1",,126.547,33.477
"4050004003","101",S퀼트,"0",,126.550,33.478
"4050163000","104",봉천2교,"0",,126.400,33.481
"4050163100","101",알뜰주유소,"0",,126.400,33.480
"4050163200","101",유수암리3253,"0",,126.400,33.431
"4050163300","103",속성변화점,"0",,126.401,33.482
"4050163400","101",예원교차로,"1",,126.401,33.456
"4050163500","101",도정공장,"0",,126.402,33.443
"4050163600","101",유수암식당,"0",,126.402,33.443
"4050163700","101",유수암식당,"0",,126.402,33.442
"4050163800","101",유수암리3234,"0",,126.403,33.440
"4050163900","101",유수암리1853-3,"0",,126.403,33.440
"4050164000","101",미수2교,"0",,126.404,33.483
"4050164100","101",유수암리3244,"1",,126.405,33.418
"4050164200","101",하귀우체국,"0",,126.405,33.482
"4050164300","104",미수2교서측,"0",,126.405,33.484
"4050164400","104",미수2교동측,"0",,126.405,33.484
"4050164500","101",유수암리1069-1,"1",,126.406,33.419
"4050164600","104",미수교서측,"0",,126.406,33.482
"4050164700","104",유수암교,"0",,126.406,33.449
"4050164800","104",유수암교,"0",,126.406,33.450
"4050164900","104",미수교동측,"0",,126.406,33.482
"4050165000","101",유수암리3244,"0",,126.407,33.421
"4050165100","101",유수암교차로,"0",,126.408,33.423
"4050165200","101",상귀리354-1,"0",,126.408,33.478
"4050165300","101",유수암리1016-1,"1",,126.409,33.424
"4050165400","102",광성로5,"0",,126.408,33.457
"4050165500","101",유수암리3237,"0",,126.409,33.423
"4050165600","101",유수암리1023-1,"1",,126.409,33.424
"4050165700","101",상귀교차로,"1",,126.409,33.473
"4050001100","101",노루생이삼거리,"0",,126.493,33.423
"4050001101","101",노형동산14-3,"1",,126.490,33.427
"4050001102","101",연동산100-1,"1",,126.490,33.435
"4050001400","101",명도암입구교차로,"0",,126.639,33.427
"4050001500","101",아라일동산52-11,"0",,126.557,33.426
"4050001700","102",오라이동산100,"0",,126.527,33.428
"4050001800","101",아라일동산53-1,"1",,126.559,33.430
"4050001900","101",아라일동산46-1,"0",,126.557,33.433
"4050002000","101",뜨래별타운하우스,"0",,126.555,33.437
"4050002200","101",첨단과학기술단지입구교차로,"0",,126.573,33.439
"4050002201","101",아라일동4-39,"0",,126.559,33.446
"4050002202","101",영평동2273,"0",,126.571,33.449
"4050002203","101",영평동2273,"0",,126.572,33.444
"4050002204","101",영평동2273,"1",,126.572,33.455
"4050002205","101",제주국제자유도시개발센터,"0",,126.571,33.453
"4050002206","101",영평동2273,"1",,126.571,33.452
"4050002207","101",카카오본사,"1",,126.571,33.450
"4050002300","101",아라일동산38-1,"1",,126.555,33.441
"4050002301","101",아라일동산31-1,"1",,126.557,33.444
"4050002400","101",산록도로입구교차로,"0",,126.557,33.446
"4050002401","101",산과교,"0",,126.556,33.448
"4050002402","103",속성변화점,"0",,126.554,33.449
"4050002403","104",관음교,"0",,126.558,33.446
"4050002404","101",아라일동397-2,"1",,126.553,33.450
"4050002500","101",축산마을삼거리,"0",,126.489,33.447
"4050002501","101",진흥원삼거리,"0",,126.489,33.445
"4050002502","101",제주시서부공설묘지,"1",,126.487,33.454
"4050004006","101",신성여자중학교,"0",,126.562,33.478
"4050004007","103",속성변화점,"0",,126.566,33.478
"4050004008","101",영평1교,"0",,126.568,33.477
"4050004009","101",영평동2796,"1",,126.556,33.486
"4050004010","101",영평동2796,"1",,126.559,33.483
"4050004011","101",영평동2444-1,"0",,126.564,33.479
"4050004012","101",영평동2796,"0",,126.562,33.479
"4050004013","101",아라이동941-2,"0",,126.553,33.478
"4050004014","101",영평동2445-14,"0",,126.563,33.479
